id,price,date,postcode,type,old_new,duration,paon,saon,street,locality,city,district,county,category,status
{2FD36066-203B-4BF8-E050-A8C0620562B1},115000,2016-02-26 00:00,NE27 0NT,S,N,F,3,,ETAL CRESCENT,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2045-4BF8-E050-A8C0620562B1},136000,2016-01-28 00:00,NE29 9JE,F,N,L,20,,BISHOPBOURNE COURT,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2046-4BF8-E050-A8C0620562B1},77000,2016-03-14 00:00,NE28 9AP,T,N,F,10,,BARWELL CLOSE,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,B,A
{2FD36066-2049-4BF8-E050-A8C0620562B1},214950,2016-03-14 00:00,NE28 7JJ,D,N,F,30,,CAESAR WAY,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-204D-4BF8-E050-A8C0620562B1},102000,2016-02-26 00:00,NE27 0EQ,T,N,F,10,,LAMB TERRACE,WEST ALLOTMENT,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2052-4BF8-E050-A8C0620562B1},115000,2016-03-04 00:00,NE27 0PL,S,N,F,19,,FELTON CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2054-4BF8-E050-A8C0620562B1},54000,2016-03-04 00:00,NE29 9BF,F,N,L,GRANGESIDE COURT,APARTMENT 33,BRABOURNE GARDENS,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2057-4BF8-E050-A8C0620562B1},115000,2016-02-26 00:00,NE29 7EH,S,N,F,39,,DENTON AVENUE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-205B-4BF8-E050-A8C0620562B1},73000,2016-02-05 00:00,NE28 8QD,F,N,L,229,,HIGH STREET WEST,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-205D-4BF8-E050-A8C0620562B1},193000,2016-03-24 00:00,NE27 0RN,S,N,F,6,,ALGERNON DRIVE,BACKWORTH,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{42A5A709-9BA5-56E8-E050-A8C06205331E},491500,2016-10-31 00:00,NE30 2LN,D,N,F,5,,HASTINGS DRIVE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{42A5A709-9BAA-56E8-E050-A8C06205331E},185000,2016-11-11 00:00,NE25 9EG,S,N,F,109,,SEATONVILLE ROAD,,WHITLEY BAY,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-206A-4BF8-E050-A8C0620562B1},41000,2016-03-14 00:00,NE28 6PG,F,N,L,29,,LAUREL STREET,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-206B-4BF8-E050-A8C0620562B1},78500,2016-02-19 00:00,NE28 7JJ,F,N,L,74,,CAESAR WAY,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2077-4BF8-E050-A8C0620562B1},107500,2016-03-18 00:00,NE29 8SJ,T,N,F,27,,DRURY LANE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2081-4BF8-E050-A8C0620562B1},160000,2016-02-26 00:00,NE27 0BJ,S,N,F,81,,BROOKFIELD,WEST ALLOTMENT,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2082-4BF8-E050-A8C0620562B1},137000,2016-02-25 00:00,NE28 8QH,T,N,L,1,,WINDERMERE CLOSE,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2087-4BF8-E050-A8C0620562B1},57000,2016-02-23 00:00,NE27 0HS,F,N,L,4,,SOUTH STREET,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-208E-4BF8-E050-A8C0620562B1},100000,2016-03-18 00:00,NE30 4JS,F,N,L,1A,,GRAND PARADE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2096-4BF8-E050-A8C0620562B1},243000,2016-02-26 00:00,NE27 0RN,D,N,F,1,,ALGERNON DRIVE,BACKWORTH,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2097-4BF8-E050-A8C0620562B1},61500,2016-02-12 00:00,NE28 7PU,F,N,L,137,,CHARLOTTE STREET,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-2098-4BF8-E050-A8C0620562B1},53000,2016-03-15 00:00,NE28 6JB,F,N,L,115,,VINE STREET,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-209A-4BF8-E050-A8C0620562B1},42000,2016-03-11 00:00,NE28 6JB,F,N,L,115A,,VINE STREET,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-209D-4BF8-E050-A8C0620562B1},225000,2016-02-26 00:00,NE25 8NH,T,N,F,24,,MITCHELL AVENUE,,WHITLEY BAY,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-20A3-4BF8-E050-A8C0620562B1},180000,2016-03-01 00:00,NE27 0BE,D,N,L,11,,CLOVERFIELD,WEST ALLOTMENT,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-20A5-4BF8-E050-A8C0620562B1},123500,2016-03-04 00:00,NE29 9QE,T,N,F,8,,KILSYTH AVENUE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-20B6-4BF8-E050-A8C0620562B1},101750,2016-02-23 00:00,NE27 0LG,S,N,F,50,,PARK AVENUE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-20C3-4BF8-E050-A8C0620562B1},79000,2016-02-25 00:00,NE25 8TR,F,N,L,17,,WILSON COURT,,WHITLEY BAY,NORTH TYNESIDE,TYNE AND WEAR,A,A
{2FD36066-20CE-4BF8-E050-A8C0620562B1},205000,2016-02-24 00:00,NE30 2AS,T,N,F,89,,LINSKILL TERRACE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-961F-7921-E050-A8C063056E8D},205000,2016-10-31 00:00,NE26 2AS,F,Y,L,"MONTAGUE APARTMENTS, 55",3,ESPLANADE,,WHITLEY BAY,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-962A-7921-E050-A8C063056E8D},208000,2016-09-27 00:00,NE30 2SZ,T,N,F,70,,WEST DENE DRIVE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9631-7921-E050-A8C063056E8D},286950,2016-09-29 00:00,NE27 0FZ,D,Y,F,38,,HOTSPUR NORTH,BACKWORTH,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9633-7921-E050-A8C063056E8D},273950,2016-10-28 00:00,NE27 0FZ,D,Y,F,40,,HOTSPUR NORTH,BACKWORTH,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-963B-7921-E050-A8C063056E8D},210000,2016-11-04 00:00,NE27 0FA,D,Y,L,25,,DELEVAL CRESCENT,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9645-7921-E050-A8C063056E8D},175000,2016-10-21 00:00,NE29 9NB,T,N,F,6,,NORTH ROAD,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9647-7921-E050-A8C063056E8D},255000,2016-11-04 00:00,NE30 4PB,T,N,F,5,,MARDEN AVENUE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-964D-7921-E050-A8C063056E8D},232995,2016-10-31 00:00,NE27 0FA,D,Y,L,11,,DELEVAL CRESCENT,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-964E-7921-E050-A8C063056E8D},128995,2016-10-31 00:00,NE27 0FH,F,Y,F,21,,RICHARDSON GARDENS,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9654-7921-E050-A8C063056E8D},112995,2016-11-11 00:00,NE27 0FJ,F,Y,L,20,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9664-7921-E050-A8C063056E8D},299995,2016-11-18 00:00,NE27 0FA,D,Y,L,41,,DELEVAL CRESCENT,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9672-7921-E050-A8C063056E8D},138995,2016-11-22 00:00,NE27 0FY,S,Y,L,67,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9673-7921-E050-A8C063056E8D},337795,2016-11-21 00:00,NE27 0FA,D,Y,F,38,,DELEVAL CRESCENT,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9675-7921-E050-A8C063056E8D},228795,2016-11-22 00:00,NE27 0FA,D,Y,F,7,,DELEVAL CRESCENT,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-967F-7921-E050-A8C063056E8D},138995,2016-11-25 00:00,NE27 0FY,S,Y,L,66,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9680-7921-E050-A8C063056E8D},118995,2016-11-25 00:00,NE27 0FJ,F,Y,L,42,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9684-7921-E050-A8C063056E8D},249995,2016-11-29 00:00,NE27 0FA,S,Y,L,17,,DELEVAL CRESCENT,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-969C-7921-E050-A8C063056E8D},116995,2016-11-30 00:00,NE27 0FJ,F,Y,L,55,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-969F-7921-E050-A8C063056E8D},176995,2016-11-30 00:00,NE27 0FY,T,Y,L,69,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96A0-7921-E050-A8C063056E8D},229995,2016-11-30 00:00,NE28 9PB,D,Y,L,3,,THE RISINGS,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96A5-7921-E050-A8C063056E8D},309995,2016-11-18 00:00,NE27 0FH,D,Y,L,41,,RICHARDSON GARDENS,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96A7-7921-E050-A8C063056E8D},179995,2016-11-28 00:00,NE28 9PB,S,Y,L,24,,THE RISINGS,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96AB-7921-E050-A8C063056E8D},256795,2016-11-30 00:00,NE27 0FA,D,Y,F,15,,DELEVAL CRESCENT,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96AC-7921-E050-A8C063056E8D},179995,2016-12-09 00:00,NE28 9PB,S,Y,L,26,,THE RISINGS,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96AD-7921-E050-A8C063056E8D},125995,2016-12-09 00:00,NE27 0FJ,S,Y,F,9,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96B5-7921-E050-A8C063056E8D},179995,2016-12-09 00:00,NE27 0FY,T,Y,L,68,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96C0-7921-E050-A8C063056E8D},191995,2016-12-16 00:00,NE28 9PB,S,Y,L,49,,THE RISINGS,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96C3-7921-E050-A8C063056E8D},216995,2016-12-19 00:00,NE27 0FH,D,Y,L,39,,RICHARDSON GARDENS,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96C4-7921-E050-A8C063056E8D},114995,2016-12-19 00:00,NE27 0FJ,F,Y,L,50,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96C5-7921-E050-A8C063056E8D},194995,2016-12-16 00:00,NE28 9PB,D,Y,L,30,,THE RISINGS,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-96D8-7921-E050-A8C063056E8D},116995,2016-12-20 00:00,NE27 0FJ,F,Y,L,35,,TREVELYAN CLOSE,SHIREMOOR,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
